road,education,electricity,internet,employment,poverty,votes
4,5,10,4,4,10,869
3,2,6,3,9,8,753
3,3,4,9,1,7,549
6,9,6,9,9,3,925
10,7,9,3,8,2,920
8,6,10,4,3,10,922
5,9,9,5,4,5,864
7,3,10,4,10,5,913
9,9,9,8,7,3,964
7,6,3,2,0,7,609
9,4,1,3,6,3,579
2,3,0,5,1,1,285
2,2,7,0,2,2,396
9,1,4,6,2,0,514
9,5,4,8,5,3,780
4,8,1,6,5,4,593
1,2,8,6,2,8,582
10,3,4,1,4,10,743
10,8,6,8,1,6,919
10,7,8,10,0,6,913
6,4,10,3,6,4,696
10,8,5,8,6,5,924
1,2,0,10,5,3,454
10,7,4,2,7,10,912
5,2,0,9,2,0,368
2,2,2,9,5,3,559
6,6,1,7,7,9,851
3,4,6,6,7,3,651
10,2,9,0,1,9,770
1,7,6,6,3,8,748
8,3,4,9,6,5,788
1,8,0,6,3,7,537
4,9,9,5,9,2,801
5,1,6,2,5,1,511
2,0,3,3,8,3,423
0,3,0,1,10,9,528
0,1,0,6,1,3,299
6,5,4,7,3,4,601
0,5,0,2,10,2,522
8,0,4,3,3,7,654
5,7,10,10,10,9,998
0,6,0,7,8,5,556
1,7,1,5,8,6,665
2,2,4,5,5,2,423
10,6,1,1,8,6,756
5,6,1,0,7,2,552
8,9,5,3,9,4,785
7,7,4,4,6,10,818
9,3,5,0,7,5,600
10,0,5,1,3,10,708
2,9,4,5,5,6,732
10,3,3,4,1,10,720
2,5,8,4,5,1,597
8,7,4,6,7,10,938
8,5,7,7,1,5,833
5,9,3,7,0,7,763
5,7,8,5,2,0,600
5,1,5,8,9,5,707
0,10,10,6,6,8,956
4,1,3,2,4,3,406
1,4,10,5,9,3,745
9,4,5,3,7,7,817
8,5,3,3,0,6,539
2,5,2,6,7,2,614
10,5,7,9,3,3,913
10,8,8,8,3,5,971
5,2,2,0,8,10,625
5,4,10,1,7,8,781
5,4,8,0,2,8,643
7,2,10,5,6,1,699
4,7,8,1,5,9,802
0,3,8,7,7,0,523
1,6,0,9,10,10,870
3,8,7,2,0,8,600
10,1,6,10,7,5,960
10,2,4,6,2,9,815
5,1,6,6,9,8,810
7,0,0,8,3,3,472
8,4,5,3,7,7,815
9,8,0,4,2,3,594
0,2,3,3,3,7,369
7,9,6,6,0,2,723
3,9,5,9,3,6,804
6,9,3,10,2,6,808
0,8,5,8,7,4,753
7,4,2,1,3,7,623
7,0,4,10,8,2,751
6,2,1,10,6,8,768
1,8,9,3,5,0,648
3,10,8,9,5,9,979
10,3,8,7,3,10,981
8,5,2,8,1,4,658
8,1,3,8,4,3,635
2,6,9,10,8,9,902
0,9,5,1,4,2,566
10,2,9,6,7,2,896
7,4,1,5,2,10,715
4,5,5,9,8,7,869
1,10,3,2,2,2,509
6,6,5,9,5,9,922
0,2,10,0,5,2,395
1,2,8,8,9,9,838
5,5,3,5,3,5,614
5,5,4,3,7,2,630
6,2,4,5,4,10,766
6,1,6,6,3,6,676
2,5,5,8,9,10,906
1,7,8,6,2,4,727
5,9,0,6,3,6,706
10,8,7,9,0,4,918
1,6,2,4,6,6,621
1,5,2,2,2,4,332
8,4,10,9,1,9,913
10,8,10,0,9,7,947
7,0,2,4,8,10,726
1,1,8,8,3,2,564
4,0,5,1,10,0,489
10,3,8,4,9,9,978
9,8,0,3,10,8,802
6,7,8,2,5,6,770
6,6,9,7,0,9,833
10,4,2,2,8,4,678
0,1,1,1,1,4,240
0,3,10,3,5,0,445
9,5,4,5,2,1,617
1,8,1,7,7,2,640
6,1,3,1,9,8,696
6,8,7,6,6,0,744
2,5,7,3,4,8,666
7,1,8,10,5,9,945
5,10,9,4,0,0,651
3,9,3,7,2,8,773
2,9,6,4,3,8,675
5,9,7,3,9,1,764
2,5,10,1,1,10,722
5,10,4,8,5,0,706
0,6,7,6,1,5,524
3,1,9,6,10,2,732
0,7,8,1,0,5,476
2,0,9,1,3,5,479
8,8,9,7,10,8,979
7,1,9,0,3,3,486
2,2,5,2,1,7,374
9,5,5,8,0,9,854
10,8,4,6,4,2,769
6,8,4,8,4,4,792
8,8,8,0,7,9,901
3,4,5,0,9,7,652
3,3,7,2,10,5,777
5,6,3,2,0,5,483
10,7,4,1,5,8,828
9,5,10,7,4,5,986
9,0,5,7,4,7,767
8,5,10,1,0,2,645
4,2,7,2,10,7,698
0,9,5,1,2,9,573
6,2,0,1,5,8,453
2,5,0,1,9,2,460
4,3,1,4,8,0,480
4,1,0,10,5,7,669
2,10,10,6,5,5,845
10,2,5,8,5,7,823
10,2,1,0,0,7,461
2,0,4,4,1,0,226
9,1,10,9,9,6,980
3,10,7,8,2,6,813
1,10,3,8,10,8,871
1,4,1,6,2,8,504
0,7,8,2,5,5,549
1,0,8,1,9,1,441
2,5,9,7,0,6,695
3,8,5,8,4,3,678
6,1,2,3,2,9,570
3,9,0,6,0,0,368
10,8,2,9,10,8,920
0,7,6,10,1,2,641
7,0,6,1,5,7,610
10,3,7,5,1,4,775
1,1,5,7,4,4,543
2,1,9,1,9,0,514
10,8,7,7,3,5,894
9,6,2,8,9,2,827
1,10,2,6,6,10,832
8,2,2,8,3,6,663
9,6,1,2,6,8,746
4,8,4,10,4,7,792
8,7,6,7,8,7,986
6,4,4,2,1,4,486
1,10,5,1,7,8,733
1,8,3,8,8,8,788
8,3,8,1,5,10,727
0,8,4,9,5,7,782
8,0,8,9,8,10,945
10,4,8,6,4,10,920
10,2,5,2,1,10,726
5,2,2,1,0,0,234
4,8,4,5,4,5,744
8,7,3,9,2,5,763
1,8,3,5,1,5,510
10,6,7,2,9,1,809
3,0,7,1,0,4,363
0,0,10,3,2,1,309
1,5,3,8,2,8,562
5,6,8,7,1,3,744
1,10,6,9,9,8,999
2,3,10,10,10,3,897
10,3,4,10,4,0,643
4,2,10,7,2,5,733
6,9,1,10,6,0,790
10,3,9,6,3,2,691
1,1,6,9,8,9,871
6,0,4,0,5,7,501
4,5,1,0,0,9,444
9,4,4,0,7,10,790
2,1,5,2,10,10,683
5,0,4,6,1,3,463
5,10,2,1,9,10,882
4,3,8,0,9,10,794
